YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
2018,NA,6.95,NA,NA
2018,NA,2.4,2.36,NA
2018,NA,23.3,23.84,NA
2018,NA,34.15,33.17,NA
2018,NA,29.15,28.87,NA
2018,NA,2.28,2.23,NA
2018,NA,5.43,5.62,NA
2018,NA,10.24,10.24,NA
2018,NA,4.02,5.73,NA
2018,NA,9.7,13.24,NA
2018,NA,15.8,24,NA
2018,NA,12.48,13.68,NA
2018,NA,1.85,1.84,NA
2018,NA,2.52,3.61,NA
2018,NA,2.27,2.4,NA
2018,NA,NA,8.49,NA
2018,NA,3.58,5.88,NA
2017,7.08,5.46,2.48,7.23
2017,1.85,NA,NA,6.96
2017,24.1,23.35,23.88,23.51
2017,42.05,40.47,35.1,42.04
2017,30.57,31.68,26.45,32.9
2017,2.36,2.54,2.08,3.16
2017,11.84,10.74,9.51,11.88
2017,5.3,5.25,2.8,5.88
2017,10.31,14.44,6.08,14.44
2017,15.4,11.73,6.98,14.96
2017,30.4,28.9,19.17,30.36
2017,59.26,59.26,59.26,NA
2017,5.76,5.11,4.19,NA
2017,13.3,17.55,8.17,NA
2017,15.33,14.28,12.58,16.05
2017,4.55,4.38,1.55,5.54
2017,3.35,4.02,1.77,5.08
2017,3.3,2.32,1.61,3.46
2017,2.25,2.6,1.4,3.32
2016,38.52,NA,39.03,39.15
2016,NA,2.82,NA,2.08
2016,23.1,NA,23.27,23.79
2016,21.6,NA,24,30.78
2016,8.64,NA,9.69,10.14
2016,3.76,NA,4.42,5.18
2016,7.56,NA,9.92,12.18
2016,2.37,NA,2.97,NA
2016,1.88,NA,2.51,2.66
2016,13.14,NA,14.81,NA
2016,4.41,NA,4.53,4.5
2016,9.96,NA,10.14,11.22
2016,29.75,NA,31.08,30.05
2016,1.93,NA,2.63,2.13
2016,2.88,2.73,3.21,4.24
2016,1.36,1.87,1.91,3
2016,1.7,2.72,3.13,3.66
2016,13.3,14.18,13.38,15.55
2016,34.23,NA,NA,NA
2015,43.45,48.2,38.55,41.8
2015,22.28,22.28,15.74,22.28
2015,24.51,24.2,24.06,23.9
2015,13.9,13.9,NA,9
2015,25.49,26.3,21.46,19.3
2015,10.95,2.02,9.83,10.95
2015,5.17,10.1,2.96,1.25
2015,13.16,10.4,8.87,5.1
2015,3.1,3.18,NA,3.64
2015,2.2,2.95,1.55,5.54
2015,14.33,14.8,NA,69.3
2015,3.83,3.9,2.19,3.83
2015,13.55,NA,10.97,2.5
2015,29.39,31.2,29.86,29.49
2015,1.9,2.43,1.78,1.88
2015,4.13,3.9,1.94,8.2
2015,2.45,3.6,1.25,10.1
2015,4.03,3.87,2.78,11.6
2015,NA,5.33,NA,4.5
2015,37.18,35.06,NA,37.18
2014,NA,8.59,NA,NA
2014,22.28,22.28,22.28,22.28
2014,38.02,37.03,31.96,37.48
2014,23.84,23.56,23.76,23.76
2014,13.9,NA,13.9,13.9
2014,41.31,35.95,29.32,40.49
2014,6.34,4.42,4.64,5.78
2014,13.99,11.61,6.97,15.69
2014,5.49,8.39,2.51,10
2014,2.08,13.42,1.3,13.85
2014,14.3,16.61,10.45,19.19
2014,1.88,4.09,0.87,5.47
2014,13.59,12.14,12.33,13.6
2014,34.12,33.67,28.87,33.62
2014,3.23,4.88,1.99,2.41
2014,5.15,4.35,2.79,5.58
2014,11.18,7.65,1.74,10.74
2014,5.7,4.23,2.31,6.77
2014,5.53,5.56,4.28,6.4
